#####################################################################
# Alchemist log file - simulation started at: 2026-06-18T09:19+0000 #
#####################################################################
#
# update-frequency = 0.0166666667, 5g-probability = 0, payload-size = 3, seed = 3.0
#
# The columns have the following meaning: 
# time B1_DR[mean] DIST_MR[mean] DR_MR[mean] CSC[mean] reduction-factor[mean] reduction-factor[median] reduction-factor[StandardDeviation] export-intra-cluster-relay-data-rate-not-leader[mean] export-intra-cluster-relay-data-rate-not-leader[variance] export-intra-cluster-relay-data-rate-not-leader[median] leader-to-relay-data-rate[mean] leader-to-relay-data-rate[variance] leader-to-relay-data-rate[median] n_clusters cluster-size[mean] cluster-size[median] cluster-size[StandardDeviation] clustersComposedOfOneElement export-intra-cluster-relay-data-rate[mean] export-intra-cluster-relay-data-rate[variance] export-intra-cluster-relay-data-rate[median] export-baseline1-data-rate[mean] export-baseline1-data-rate[variance] export-baseline1-data-rate[median] export-baseline2-data-rate[mean] export-baseline2-data-rate[variance] export-baseline2-data-rate[median] export-baseline3-data-rate[mean] export-baseline3-data-rate[variance] export-baseline3-data-rate[median] distanceToLeader[mean] distanceToLeader[variance] distanceToLeader[median] 
8040.016548223542 1.35e+03 1.35e+03 1.26e+03 1.37e+03 0.780 1.00 0.414 381235.35133526084 7.384612974034042E10 333934.0209925323 15.083506314595384 91.69738567679087 8.848472481818588 210.0 2.21052631578947 1.0 14.452298333673637 194.0 381235.35133526084 7.384612974034042E10 333934.0209925323 1357.1428571428585 2234428.261543226 0.0 166973.9711810511 6.900677099059087E10 4674.586607517124 166087.09596471812 6.980141132637523E10 16.179521459636188 0.011461483906354418 9.441690446458439E-4 0.0012971433017924417
8100.016548223542 1.34e+03 1.34e+03 1.26e+03 1.36e+03 0.779 1.00 0.415 380572.74702763476 7.3573052527417E10 340409.1023191501 27.714390270159736 24682.54814122027 8.882218319825872 211.0 2.200000000000004 1.0 14.349299367721748 195.0 380572.74702763476 7.3573052527417E10 340409.1023191501 1350.6493506493487 2232526.692396536 0.0 167192.95795907642 6.865800907940883E10 5694.885982766224 165529.8071610115 6.963286756582439E10 4.257556792583774 0.010930677479220718 8.048209147541289E-4 0.001297209451390217
8160.016548223542 1.34e+03 1.34e+03 1.26e+03 1.38e+03 0.788 1.00 0.409 379244.00512511237 7.396115741822955E10 330277.3290734106 26.237544647839883 24453.082322611535 8.85135641370166 212.0 2.1895734597156418 1.0 14.315894772962295 198.0 379244.00512511237 7.396115741822955E10 330277.3290734106 1350.6493506493487 2232526.692396536 0.0 166414.2062448367 6.847230810755135E10 6327.651091962471 165138.5193055256 6.940328847869576E10 8.580531243214164 0.010748515921887379 7.159564260467101E-4 0.0012971887212252233
8220.016548223542 1.35e+03 1.35e+03 1.26e+03 1.39e+03 0.786 1.00 0.410 378220.8155455301 7.377276966759528E10 336568.2825925799 14.671845266999636 202.91253967555986 8.803053508654354 211.0 2.200000000000004 1.0 14.41815708017217 196.0 378220.8155455301 7.377276966759528E10 336568.2825925799 1357.1428571428585 2234428.261543226 0.0 166778.14244774292 6.815205277610767E10 8891.683914238594 164836.9556185745 6.924493941621782E10 0.0 0.010836195043697372 7.036391319030709E-4 0.0013035049167572216
8280.016548223542 1.35e+03 1.35e+03 1.26e+03 1.39e+03 0.780 1.00 0.414 377758.3448968647 7.364998462355579E10 352047.76926205086 14.736647182350447 205.8644160245948 8.812568948599058 210.0 2.21052631578947 1.0 14.452298333673637 194.0 377758.3448968647 7.364998462355579E10 352047.76926205086 1357.1428571428585 2234428.261543226 0.0 166747.30470684997 6.807461168999556E10 8968.21248635117 164771.57981612562 6.917852847557248E10 0.0 0.010907089232139427 7.244226841592444E-4 0.0013184926802797961
8340.016548223542 1.35e+03 1.34e+03 1.26e+03 1.39e+03 0.783 1.00 0.412 377216.86041929934 7.381383343678383E10 350540.8755648896 91.42454621149811 1130075.9082275783 8.880665852435206 211.0 2.200000000000004 1.0 14.416497726513425 195.0 377216.86041929934 7.381383343678383E10 350540.8755648896 1357.1428571428585 2234428.261543226 0.0 165441.33161645647 6.82203004950064E10 8888.352691903328 165237.38592396746 6.944543071144655E10 8.596367244610395 0.010824380432842869 7.020756822561884E-4 0.001320542511449072
8400.016548223542 1.36e+03 1.36e+03 1.26e+03 1.40e+03 0.787 1.00 0.410 380581.8580144006 7.342359113471625E10 359397.21356468904 36.9802050265555 99255.46558394459 8.814996193605342 210.0 2.21052631578947 1.0 14.51801547317511 192.0 380581.8580144006 7.342359113471625E10 359397.21356468904 1363.6363636363635 2236245.3165056068 0.0 167182.298049861 6.898060169847815E10 8436.962061847029 165912.4607407431 6.994713210243335E10 0.0 0.011440716619446201 8.3764404985018E-4 0.001326770126898693
8460.016548223542 1.36e+03 1.36e+03 1.27e+03 1.40e+03 0.790 1.00 0.408 381140.8463864334 7.405803335730594E10 369438.9621616107 39.228440497289064 68405.16865978003 8.802027159489016 211.0 2.2000000000000037 1.0 14.485366316409687 196.0 381140.8463864334 7.405803335730594E10 369438.9621616107 1363.6363636363635 2236245.3165056068 0.0 168210.65432127344 6.923767018571184E10 9341.136918141037 166489.2490803783 7.029150295223035E10 0.0 0.010978731706069422 7.548549507968485E-4 0.001324276540808613
8520.016548223542 1.36e+03 1.36e+03 1.28e+03 1.41e+03 0.806 1.00 0.396 386301.05198174226 7.436310665426884E10 384278.07467289706 1538.4406736138906 2.2622139147493413E8 8.82474133683075 214.0 2.1690140845070442 1.0 14.380922158769788 199.0 386301.05198174226 7.436310665426884E10 384278.07467289706 1363.6363636363635 2236245.3165056068 0.0 169341.32489364705 6.956562946070995E10 9398.740125564655 167121.24620546334 7.071596095662787E10 4.257556792583774 0.01100113326965126 8.260313314399692E-4 0.0012998406758830943
8580.016548223542 1.36e+03 1.36e+03 1.26e+03 1.42e+03 0.805 1.00 0.397 387756.0103551064 7.418734392905116E10 377835.48028408433 18.755787753091678 2865.963275332705 8.822731505782565 214.0 2.1690140845070442 1.0 14.37764175774158 201.0 387756.0103551064 7.418734392905116E10 377835.48028408433 1363.6363636363635 2236245.3165056068 0.0 169495.8283726395 7.01119462895396E10 9168.293613686728 167691.4139100267 7.118474720452086E10 0.0 0.011323737991853258 9.091881809629176E-4 0.0012925464074401809
